;accuracy MEAN;accuracy SD
dt (1, 200, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (10, 2, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (10, 20, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (10, 200, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (100, 2, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (100, 20, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (100, 200, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (1000, 2, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (1000, 20, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
dt (1000, 200, 200, 'cross-validation', 'Classifier');0,04266666666666667;0,006798692684790382
knn (10, 'scaling', 'distance', 'cross-validation', 'Classifier');0,04266666666666667;0,009043106644167022
knn (11, 'scaling', 'distance', 'cross-validation', 'Classifier');0,04266666666666667;0,009043106644167022
knn (12, 'scaling', 'distance', 'cross-validation', 'Classifier');0,04266666666666667;0,009043106644167022
knn (15, 'scaling', 'distance', 'cross-validation', 'Classifier');0,03866666666666667;0,008844332774281068
knn (20, 'scaling', 'distance', 'cross-validation', 'Classifier');0,036000000000000004;0,00679869268479038
knn (5, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,031999999999999994;0,0065319726474218085
knn (8, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,030666666666666665;0,00679869268479038
knn (9, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,030666666666666665;0,00679869268479038
knn (2, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,029333333333333333;0,005333333333333332
knn (12, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,029333333333333333;0,005333333333333332
dt (1, 2, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1, 20, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1, 200, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1, 2000, 1, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1, 2000, 10, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1, 2000, 200, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1, 2000, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 2, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 20, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 200, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 2000, 1, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 2000, 10, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 2000, 200, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (10, 2000, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (100, 2, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (100, 20, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (100, 200, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (100, 2000, 1, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
