k;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3
scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling
weights;uniform;uniform;distance;distance;uniform;uniform;distance;distance;uniform;uniform;distance;distance;uniform;uniform;distance;distance
validation method;holdout;cross-validation;holdout;cross-validation;holdout;cross-validation;holdout;cross-validation;holdout;cross-validation;holdout;cross-validation;holdout;cross-validation;holdout;cross-validation
dummy uniform score time SD;0,0;0,0007486983199022381;0,0;0,0007523726471682951;0,0;0,0008943657016223483;0,0;0,000898069386961793;0,0;0,0008023673896823538;0,0;0,0007968319217106015;0,0;0,0006326376432370087;0,0;0,000894482219882941
dummy uniform accuracy MEAN;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708;0,4806153846153846;0,4985257294429708
dummy uniform accuracy SD;0,0;0,01151546406606403;0,0;0,01151546406606403;0,0;0,01151546406606403;0,0;0,01151546406606403;0,0;0,01151546406606403;0,0;0,01151546406606403;0,0;0,01151546406606403;0,0;0,01151546406606403
dummy uniform precision_macro MEAN;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065;0,4807284165845524;0,4990203656070065
dummy uniform precision_macro SD;0,0;0,011518288655459091;0,0;0,011518288655459091;0,0;0,011518288655459091;0,0;0,011518288655459091;0,0;0,011518288655459091;0,0;0,011518288655459091;0,0;0,011518288655459091;0,0;0,011518288655459091
dummy uniform recall_macro MEAN;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297;0,480741554309953;0,4990199077066297
dummy uniform recall_macro SD;0,0;0,011524491398369205;0,0;0,011524491398369205;0,0;0,011524491398369205;0,0;0,011524491398369205;0,0;0,011524491398369205;0,0;0,011524491398369205;0,0;0,011524491398369205;0,0;0,011524491398369205
dummy uniform f1_macro MEAN;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538;0,4805711255870323;0,4985169215171538
dummy uniform f1_macro SD;0,0;0,011515403488424707;0,0;0,011515403488424707;0,0;0,011515403488424707;0,0;0,011515403488424707;0,0;0,011515403488424707;0,0;0,011515403488424707;0,0;0,011515403488424707;0,0;0,011515403488424707
accuracy MEAN;1,0;0,8950954149298976;1,0;0,8950954149298976;1,0;0,9066700265251988;1,0;0,9066700265251988;1,0;0,8817978021978021;1,0;0,8874623721106479;0,9981538461538462;0,8890633573323228;0,9987692307692307;0,8917721106479728
accuracy SD;0,0;0,13595444332701564;0,0;0,13595444332701564;0,0;0,12018657954088365;0,0;0,12018657954088365;0,0;0,14896033915031817;0,0;0,14032029196925944;0,0;0,13515015762071986;0,0;0,13234999089650895
precision_macro MEAN;1,0;0,9314023061098726;1,0;0,9314023061098726;1,0;0,9353142735558823;1,0;0,9353142735558823;1,0;0,9244969464259387;1,0;0,9267097882709109;0,9981773997569867;0,9252035147445324;0,9987834549878345;0,9265737821771355
precision_macro SD;0,0;0,0831090739092968;0,0;0,0831090739092968;0,0;0,07838239744992889;0,0;0,07838239744992889;0,0;0,08582263978425286;0,0;0,08335472732471927;0,0;0,08115193708496482;0,0;0,08038503948706223
recall_macro MEAN;1,0;0,896232304521756;1,0;0,896232304521756;1,0;0,9076960613152647;1,0;0,9076960613152647;1,0;0,8830557510360466;1,0;0,8885782771293218;0,998136645962733;0,8902155666732275;0,9987577639751553;0,8929018000382871
recall_macro SD;0,0;0,13204036659761997;0,0;0,13204036659761997;0,0;0,11690484375839465;0,0;0,11690484375839465;0,0;0,1441723705363799;0,0;0,13597830587103407;0,0;0,13067499527910256;0,0;0,12802492638221566
f1_macro MEAN;1,0;0,8862181354096323;1,0;0,8862181354096323;1,0;0,9009452457050745;1,0;0,9009452457050745;1,0;0,869048402450411;1,0;0,8770538170854166;0,9981536196062495;0,8797011718118265;0,9987690960544415;0,8831171525609116
f1_macro SD;0,0;0,15026292671950736;0,0;0,15026292671950736;0,0;0,12916100503568045;0,0;0,12916100503568045;0,0;0,1705629907187585;0,0;0,15745679954530872;0,0;0,15104021365527176;0,0;0,14694043437769735
