;accuracy MEAN;accuracy SD
ridge (5.0, 'noScaling', 'cross-validation', 'Classifier');0,7862758620689656;0,1696726119269953
ridge (10.0, 'noScaling', 'cross-validation', 'Classifier');0,7833271693823418;0,1525978089838828
ridge (50.0, 'noScaling', 'cross-validation', 'Classifier');0,7063164077302007;0,16637799043701085
dt (1, 2, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1, 20, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1, 200, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1, 2000, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (10, 2, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (10, 20, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (10, 200, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (10, 2000, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (100, 2, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (100, 20, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (100, 200, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (100, 2000, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1000, 2, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1000, 20, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1000, 200, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1000, 2000, 2000, 'cross-validation', 'Classifier');0,6489443728685108;0,08478987111856029
dt (1, 2, 1, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 2, 10, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 2, 200, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 20, 1, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 20, 10, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 20, 200, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 200, 1, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 200, 10, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 200, 200, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 2000, 1, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 2000, 10, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
dt (1, 2000, 200, 'cross-validation', 'Classifier');0,6062103827207276;0,1115149581322297
ridge (100.0, 'noScaling', 'cross-validation', 'Classifier');0,5595891625615763;0,05487260893134053
