alpha;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling
validation method;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation
classifier;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform
fit time MEAN;0,0;0,0;0,0;0,00897526741027832;0,0033913612365722655;0,0035893917083740234;0,0;0,0;0,0;0,007581090927124024;0,0045868873596191405;0,004588603973388672;0,0;0,0;0,0;0,006983757019042969;0,003191041946411133;0,003393125534057617;0,0;0,0;0,0;0,007783269882202149;0,0031911849975585936;0,0033941268920898438;0,0;0,0;0,0;0,006384801864624023;0,0039899349212646484;0,0033930301666259765;0,015625;0,0;0,0;0,010174322128295898;0,003989458084106445;0,0035912513732910155;0,0;0,0;0,0;0,008976459503173828;0,004590225219726562;0,003389453887939453;0,0;0,0;0,0;0,008777761459350586;0,0033908843994140624;0,00376744270324707;0,0;0,0;0,0;0,008557748794555665;0,0031909942626953125;0,002991390228271484;0,0;0,0;0,0;0,007183551788330078;0,003989696502685547;0,0041882991790771484;0,0;0,0;0,0;0,008977174758911133;0,004388999938964844;0,002979135513305664;0,0;0,0;0,0;0,007779407501220703;0,0033903121948242188;0,0033895015716552735;0,015625;0,0;0,0;0,00857686996459961;0,0037854194641113283;0,0033661365509033204;0,015625;0,0;0,0;0,007380294799804688;0,0049877166748046875;0,0033908843994140624;0,0;0,0;0,0;0,0071846961975097655;0,004186201095581055;0,003587961196899414;0,0;0,0;0,0;0,009771156311035156;0,0035881996154785156;0,003359079360961914
fit time SD;0,0;0,0;0,0;0,0;0,0004883440310753091;0,0004888112341665077;0,0;0,0;0,0;0,0016204640843408718;0,0004912127379450545;0,0004888112341665077;0,0;0,0;0,0;0,0008919102976948311;0,00039920806884765627;0,0004884608318481088;0,0;0,0;0,0;0,0018323044721298008;0,000399017333984375;0,0004905632457585024;0,0;0,0;0,0;0,001352135284786841;0,0;0,0004883440310753091;0,0;0,0;0,0;0,0007463403257300867;0,0;0,0004885776326209085;0,0;0,0;0,0;0,0;0,0013529200735533993;0,0004889280349393074;0,0;0,0;0,0;0,00039930343627929686;0,0007977605306910341;0,0003877639770507813;0,0;0,0;0,0;0,000798320770263672;0,0003991127014160156;0,0006312788302408674;0,0;0,0;0,0;0,0014652656947715269;0,0;0,0003986358642578125;0,0;0,0;0,0;0,0;0,0004884608318481088;1,565130355515222e-05;0,0;0,0;0,0;0,0011608739671091727;0,0004888112341665077;0,0004886944333937081;0,0;0,0;0,0;0,0007977485656738281;0,000399017333984375;0,0004886944333937081;0,0;0,0;0,0;0,0013528805365254685;0,0;0,0004883440310753091;0,0;0,0;0,0;0,0011623442016358146;0,00039849491000151565;0,0004888112341665077;0,0;0,0;0,0;0,0003990173339843751;0,0004882278124431752;0,0004888112341665077
score time MEAN;0,453125;0,328125;0,09375;0,005785465240478516;0,0057849884033203125;0,004787158966064453;0,375;0,4375;0,09375;0,004788446426391602;0,006182384490966797;0,005384922027587891;0,375;0,4375;0,078125;0,0047986507415771484;0,006981515884399414;0,004995298385620117;0,359375;0,4375;0,09375;0,005392694473266601;0,005585479736328125;0,0053981304168701175;0,375;0,453125;0,078125;0,004798793792724609;0,006582927703857422;0,0044005393981933595;0,375;0,390625;0,078125;0,0049956321716308595;0,0067827701568603516;0,0053860187530517575;0,4375;0,390625;0,09375;0,006981468200683594;0,006580877304077149;0,0051879405975341795;0,4375;0,375;0,09375;0,007179832458496094;0,0053860187530517575;0,006183195114135742;0,4375;0,390625;0,09375;0,0055830955505371095;0,006781959533691406;0,005199146270751953;0,375;0,4375;0,078125;0,003988885879516601;0,005784416198730468;0,007781314849853516;0,375;0,4375;0,109375;0,005387163162231446;0,005784082412719727;0,005196332931518555;0,375;0,4375;0,078125;0,00478520393371582;0,005385828018188476;0,004801511764526367;0,78125;0,09375;0,09375;0,004986763000488281;0,005983877182006836;0,004804420471191406;0,375;0,375;0,09375;0,0047968864440917965;0,006182241439819336;0,004387950897216797;0,375;0,4375;0,078125;0,0043983936309814455;0,005982828140258789;0,005987882614135742;0,4375;0,390625;0,09375;0,005405807495117187;0,0063836097717285155;0,004986715316772461
score time SD;0,0;0,0;0,0;0,0003991127014160156;0,0003995895954760235;0,0009772721009138547;0,0;0,0;0,0;0,0004002100092196083;0,0007463656723017784;0,0004886165972346223;0,0;0,0;0,0;0,0009924172367061532;0,0006310526005979174;0,0008999296965986957;0,0;0,0;0,0;0,0004953131744557107;0,0007987857518732713;0,0013673560357150875;0,0;0,0;0,0;0,000993273806225177;0,0007978439331054687;0,0013677920275299907;0,0;0,0;0,0;0,0009029570840782704;0,0003991127014160156;0,000797557845064916;0,0;0,0;0,0;0,0010926669595307924;0,00048516069361599715;0,0014678353117731188;0,0;0,0;0,0;0,0015933990478515625;0,0007985117613991217;0,0015944799611349047;0,0;0,0;0,0;0,0007971763610839842;0,0003988265991210938;0,0014816571687974144;0,0;0,0;0,0;0,0008926563994870385;0,0009769216636962175;0,0007435644804275684;0,0;0,0;0,0;0,0004871760233473127;0,0007463656570697221;0,001478113802853524;0,0;0,0;0,0;0,000978868358728357;0,0004885582259392625;0,000992806568796969;0,0;0,0;0,0;0,0010924057580153613;9,536743164062499e-08;0,0009978290020273538;0,0;0,0;0,0;0,0009891857793190946;0,0007462127115527937;0,0013531476784827477;0,0;0,0;0,0;0,0010304994162807183;0,0006309018438867316;0,0010953688731511;0,0;0,0;0,0;0,0008125425027805095;0,0007982498909214547;0,0008920166400277809
accuracy MEAN;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9880836575875488;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9880836575875488;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9880836575875488;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9883268482490273;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9880836575875488;0,6487354085603113;0,5008268482490272;0,9866245136186771;0,6342412451361867;0,5063229571984436;0,9887645914396888;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9882295719844357;0,6487354085603113;0,5008268482490272;0,9542801556420234;0,6342412451361867;0,5063229571984436;0,9498054474708171;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9884241245136186;0,6487354085603113;0,5008268482490272;0,767023346303502;0,6342412451361867;0,5063229571984436;0,7799610894941634;0,6487354085603113;0,5008268482490272;0,9861381322957199;0,6342412451361867;0,5063229571984436;0,9884727626459144;0,6487354085603113;0,5008268482490272;0,7594844357976653;0,6342412451361867;0,5063229571984436;0,7690661478599222;0,6487354085603113;0,5008268482490272;0,9866245136186771;0,6342412451361867;0,5063229571984436;0,9886186770428015;0,6487354085603113;0,5008268482490272;0,7594844357976653;0,6342412451361867;0,5063229571984436;0,7689688715953308;0,6487354085603113;0,5008268482490272;0,9866245136186771;0,6342412451361867;0,5063229571984436;0,9887645914396888;0,6487354085603113;0,5008268482490272;0,7594844357976653;0,6342412451361867;0,5063229571984436;0,7689688715953308;0,6487354085603113;0,5008268482490272
accuracy SD;0,0;0,0;0,0;0,006315469975925876;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,006315469975925876;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,006315469975925876;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,00633230377737918;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,006315469975925876;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,00662871901803609;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,006286560916605035;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,03403717209856882;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,006383650638393226;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,009709857311686287;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,00641138406742574;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,00011913860616649658;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,00654431447142188;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,0;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,00662871901803609;0,006571729865390848;0,005214951421665452;0,0;0,0;0,0;0,0;0,006571729865390848;0,005214951421665452
