max_depth;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300
min_samples_leaf;1;1;1;1;1;10;10;10;10;10;100;100;100;100;100;200;200;200;200;200;1;1;1;1;1;10;10;10;10;10;100;100;100;100;100;200;200;200;200;200;1;1;1;1;1;10;10;10;10;10;100;100;100;100;100;200;200;200;200;200;1;1;1;1;1;10;10;10;10;10;100;100;100;100;100;200;200;200;200;200;1;1;1;1;1;10;10;10;10;10;100;100;100;100;100;200;200;200;200;200;1;1;1;1;1;10;10;10;10;10;100;100;100;100;100;200;200;200;200;200
min_weight_fraction_leaf;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5;0.0;0.125;0.25;0.375;0.5
MAE;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;1.40084388185654;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;1.452783589112311;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;1.240506329113924;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;1.452783589112311;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;1.3417721518987342;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;1.4555782627930605;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;1.1518987341772151;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;1.4562358330708838;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;1.4050632911392404;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;1.4555782627930605;1.9516246220616709;2.7178670537429293;2.7267758647555724;3.2482775196282643;2.7267758647555724;2.7267758647555724;2.7267758647555724;2.7267758647555724;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643;3.2482775196282643
MAPE;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;;inf;inf;inf;inf;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;;inf;inf;inf;inf;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;;inf;inf;inf;inf;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;;inf;inf;inf;inf;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;;inf;inf;inf;inf;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
MSE;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;6.073136427566808;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;5.358297626151174;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;5.367088607594937;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;5.124373575518263;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;6.025316455696203;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;5.3568821420791055;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;4.2405063291139244;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;5.366143635147931;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;5.734177215189874;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;5.122958091446194;7.877869716730462;11.036397208763617;11.093948485744551;20.889000160230733;11.093948485744551;11.093948485744551;11.093948485744551;11.093948485744551;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733;20.889000160230733
RMSE;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;2.464373435087874;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;2.314799694606679;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;2.3166977808067535;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;2.2637079262833937;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;2.454652002972357;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;2.314493927855311;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;2.059248972104618;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;2.3164938236800743;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;2.3946142100952033;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;2.2633952574497886;2.806754302879121;3.3221073445576104;3.3307579446343065;4.570448573196151;3.3307579446343065;3.3307579446343065;3.3307579446343065;3.3307579446343065;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151;4.570448573196151
EV;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.0;0.0;0.0;0.0;0.0;0.7126882315844523;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.7428378026111699;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.0;0.0;0.0;0.0;0.0;0.7424207466199068;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.7540470186290438;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.0;0.0;0.0;0.0;0.0;0.7108270653561595;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.7428934279435171;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.0;0.0;0.0;0.0;0.0;0.7970867364988541;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.7424540875601565;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.0;0.0;0.0;0.0;0.0;0.7253933828618891;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.7541244577804453;0.6392011706345622;0.4718680678501077;0.46889253232455486;0.0;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.46889253232455486;0.0;0.0;0.0;0.0;0.0;0.0
