max_depth;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
min_samples_leaf;1;1;1;1;1;10;10;10;10;10;50;50;50;50;50;100;100;100;100;100;1;1;1;1;1;10;10;10;10;10;50;50;50;50;50;100;100;100;100;100;1;1;1;1;1;10;10;10;10;10;50;50;50;50;50;100;100;100;100;100;1;1;1;1;1;10;10;10;10;10;50;50;50;50;50;100;100;100;100;100
min_weight_fraction_leaf;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5;0;0,125;0,25;0,375;0,5
MAE;300,14;691,33;878,16;1434,82;1738,45;279,93;691,33;878,16;1434,82;1738,45;279,27;691,33;878,16;1434,82;1738,45;282,61;691,33;878,16;1434,82;1738,45;297,97;691,33;878,16;1434,82;1738,45;279,92;691,33;878,16;1434,82;1738,45;279,27;691,33;878,16;1434,82;1738,45;282,61;691,33;878,16;1434,82;1738,45;296,74;691,33;878,16;1434,82;1738,45;279,93;691,33;878,16;1434,82;1738,45;279,27;691,33;878,16;1434,82;1738,45;282,61;691,33;878,16;1434,82;1738,45;298,57;691,33;878,16;1434,82;1738,45;279,92;691,33;878,16;1434,82;1738,45;279,27;691,33;878,16;1434,82;1738,45;282,61;691,33;878,16;1434,82;1738,45
MAPE;90,39;120,75;146,87;217,59;256,53;75,67;120,75;146,87;217,59;256,53;79,85;120,75;146,87;217,59;256,53;81,02;120,75;146,87;217,59;256,53;68,65;120,75;146,87;217,59;256,53;75,67;120,75;146,87;217,59;256,53;79,85;120,75;146,87;217,59;256,53;81,02;120,75;146,87;217,59;256,53;68,63;120,75;146,87;217,59;256,53;75,67;120,75;146,87;217,59;256,53;79,85;120,75;146,87;217,59;256,53;81,02;120,75;146,87;217,59;256,53;89,77;120,75;146,87;217,59;256,53;75,67;120,75;146,87;217,59;256,53;79,85;120,75;146,87;217,59;256,53;81,02;120,75;146,87;217,59;256,53
MSE;351457,49;812963,00;1466120,30;3036185,40;3921615,82;229516,51;812963,00;1466120,30;3036185,40;3921615,82;231762,31;812963,00;1466120,30;3036185,40;3921615,82;236605,36;812963,00;1466120,30;3036185,40;3921615,82;348383,85;812963,00;1466120,30;3036185,40;3921615,82;229516,44;812963,00;1466120,30;3036185,40;3921615,82;231762,31;812963,00;1466120,30;3036185,40;3921615,82;236605,36;812963,00;1466120,30;3036185,40;3921615,82;338007,08;812963,00;1466120,30;3036185,40;3921615,82;229517,89;812963,00;1466120,30;3036185,40;3921615,82;231762,31;812963,00;1466120,30;3036185,40;3921615,82;236605,36;812963,00;1466120,30;3036185,40;3921615,82;349031,38;812963,00;1466120,30;3036185,40;3921615,82;229516,11;812963,00;1466120,30;3036185,40;3921615,82;231762,31;812963,00;1466120,30;3036185,40;3921615,82;236605,36;812963,00;1466120,30;3036185,40;3921615,82
RMSE;592,84;901,64;1210,83;1742,47;1980,31;479,08;901,64;1210,83;1742,47;1980,31;481,42;901,64;1210,83;1742,47;1980,31;486,42;901,64;1210,83;1742,47;1980,31;590,24;901,64;1210,83;1742,47;1980,31;479,08;901,64;1210,83;1742,47;1980,31;481,42;901,64;1210,83;1742,47;1980,31;486,42;901,64;1210,83;1742,47;1980,31;581,38;901,64;1210,83;1742,47;1980,31;479,08;901,64;1210,83;1742,47;1980,31;481,42;901,64;1210,83;1742,47;1980,31;486,42;901,64;1210,83;1742,47;1980,31;590,79;901,64;1210,83;1742,47;1980,31;479,08;901,64;1210,83;1742,47;1980,31;481,42;901,64;1210,83;1742,47;1980,31;486,42;901,64;1210,83;1742,47;1980,31
EV;0,91;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,91;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,91;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,91;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00;0,94;0,79;0,63;0,23;0,00
